match_id,date,venue,team1,team2,stage,match_winner,player_of_the_match,margin
202529,"April 13,2025","Arun Jaitley Stadium, Delhi",DC,MI,League,DC,Karn Sharma,12 runs
202528,"April 13,2025","Sawai Mansingh Stadium, Jaipur",RR,RCB,League,RCB,Phil Salt,9 wickets
202530,"April 14,2025","Ekana Cricket Stadium, Lucknow",LSG,CSK,League,CSK,MS Dhoni,5 wickets
202531,"April 15,2025","New PCA Cricket Stadium, Mullanpur",PBKS,KKR,League,PBKS,Yuzvendra Chahal,16 runs
202532,"April 16,2025","Arun Jaitley Stadium, Delhi",DC,RR,League,DC,Mitchell Starc,
202533,"April 17,2025","Wankhede Stadium, Mumbai",MI,SRH,League,MI,Will Jacks,4 wickets
202534,"April 18,2025","M. Chinnaswamy Stadium, Bangalore",RCB,PBKS,League,PBKS,Tim David,5 wickets
202535,"April 19,2025","Narendra Modi Stadium, Ahmedabad",GT,DC,League,GT,Jos Buttler,7 wickets
202536,"April 19,2025","Sawai Mansingh Stadium, Jaipur",RR,LSG,League,LSG,Avesh Khan,2 runs
202538,"April 20,2025","Wankhede Stadium, Mumbai",MI,CSK,League,MI,Rohit Sharma,9 wickets
202537,"April 20,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RCB,League,PBKS,Virat Kohli,7 wickets
202539,"April 21,2025","Eden Gardens, Kolkata",KKR,GT,League,GT,Shubman Gill,39 runs
202540,"April 22,2025","Ekana Cricket Stadium, Lucknow",LSG,DC,League,DC,Mukesh Kumar,8 wickets
202541,"April 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,MI,League,MI,Trent Boult,7 wickets
202542,"April 24,2025","M. Chinnaswamy Stadium, Bangalore",RCB,RR,League,RCB,Josh Hazlewood,11 runs
202543,"April 25,2025","MA Chidambaram Stadium, Chennai",CSK,SRH,League,SRH,Harshal Patel,5 wickets
202544,"April 26,2025","Eden Gardens, Kolkata",KKR,PBKS,League,,,
202545,"April 27,2025","Wankhede Stadium, Mumbai",MI,LSG,League,MI,Will Jacks,54 runs
202546,"April 27,2025","Arun Jaitley Stadium, Delhi",DC,RCB,League,RCB,Krunal Pandya,6 wickets
202547,"April 28,2025","Sawai Mansingh Stadium, Jaipur",RR,GT,League,RR,Vaibhav Suryavanshi,8 wickets
202548,"April 29,2025","Arun Jaitley Stadium, Delhi",DC,KKR,League,KKR,Sunil Narine,14 runs
202549,"April 30,2025","MA Chidambaram Stadium, Chennai",CSK,PBKS,League,PBKS,Shreyas Iyer,4 wickets
202550,"May 1,2025","Sawai Mansingh Stadium, Jaipur",RR,MI,League,MI,Ryan Rickelton,100 runs
202551,"May 2,2025","Narendra Modi Stadium, Ahmedabad",GT,SRH,League,GT,Prasidh Krishna,38 runs
202552,"May 3,2025","M. Chinnaswamy Stadium, Bangalore",RCB,CSK,League,RCB,Romario Shepherd,2 runs
202553,"May 4,2025","Eden Gardens, Kolkata",KKR,RR,League,KKR,Andre Russell,1 run
202554,"May 4,2025","HPCA Stadium, Dharamshala",PBKS,LSG,League,PBKS,Prabhsimran Singh,37 runs
202555,"May 5,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,DC,League,,,
202556,"May 6,2025","Wankhede Stadium, Mumbai",MI,GT,League,GT,Shubman Gill,3 wickets
202557,"May 7,2025","Eden Gardens, Kolkata",KKR,CSK,League,CSK,Noor Ahmad,2 wickets
202558,"May 17,2025","M. Chinnaswamy Stadium, Bangalore",RCB,KKR,League,,,
202559,"May 18,2025","Sawai Mansingh Stadium, Jaipur",RR,PBKS,League,PBKS,Harpreet Brar,10 runs
202560,"May 18,2025","Arun Jaitley Stadium, Delhi",DC,GT,League,GT,Sai Sudarshan,10 wickets
202561,"May 19,2025","Ekana Cricket Stadium, Lucknow",LSG,SRH,League,SRH,Abhishek Sharma,6 wickets
202562,"May 20,2025","Arun Jaitley Stadium, Delhi",CSK,RR,League,RR,Akash Madhwal,6 wickets
202563,"May 21,2025","Wankhede Stadium, Mumbai",MI,DC,League,MI,Suryakumar Yadav,59 runs
202564,"May 22,2025","Narendra Modi Stadium, Ahmedabad",GT,LSG,League,LSG,Mitchell Marsh,33 runs
202565,"May 23,2025","Ekana Cricket Stadium, Lucknow",RCB,SRH,League,SRH,Ishan Kishan,42 runs
202566,"May 24,2025","Sawai Mansingh Stadium, Jaipur",PBKS,DC,League,DC,Sameer Rizvi,6 wickets
202567,"May 25,2025","Narendra Modi Stadium, Ahmedabad",GT,CSK,League,CSK,Dewald Brevis,83 runs
202568,"May 25,2025","Arun Jaitley Stadium, Delhi",KKR,SRH,League,SRH,Heinrich Klassen,110 runs
202569,"May 26,2025","Sawai Mansingh Stadium, Jaipur",PBKS,MI,League,PBKS,Josh Inglis,7 wickets
202570,"May 27,2025","Ekana Cricket Stadium, Lucknow",LSG,RCB,League,RCB,Jitesh Sharma,6 wickets
202571,"May 29,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RCB,Playoffs,RCB,Suyash Sharma,8 wickets
202572,"May 30,2025","New PCA Cricket Stadium, Mullanpur",GT,MI,Playoffs,MI,Rohit Sharma,20 runs
202573,"June 1,2025","Narendra Modi Stadium, Ahmedabad",PBKS,MI,Playoffs,PBKS,Shreyas Iyer,5 wickets
202574,"June 3,2025","Narendra Modi Stadium, Ahmedabad",RCB,PBKS,Final,RCB,Krunal Pandya,6 runs
